SITE ID,Lat,long,STREET ADDRESS,TOWN,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,PWSID,SYSTEM NAME
31280,41.704,-72.208,63 Gifford Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21270,41.718,-72.21,243 Church St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31222,41.71,-72.22,391 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20452,41.717,-72.209,99 Bellevue St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20907,41.716,-72.204,233 Jackson St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10618,41.721,-72.224,221 Mansfield Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20622,41.714,-72.206,165 Jackson St,Windham,Ct,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1630011,Windham Water Works
10288,41.721,-72.226,95 Quarry St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21048,41.715,-72.22,323 Valley St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31182,41.709,-72.21,15 South St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31297,41.709,-72.214,30 Lebanon Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20481,41.714,-72.22,37 Tingley St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20287,41.715,-72.208,18 Oak St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20253,41.716,-72.213,223 Prospect St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10479,41.721,-72.205,40 Ash Ave.,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20375,41.716,-72.199,39 Brook St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20585,41.718,-72.212,207 Summit St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10594,41.72,-72.206,156 Oak St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20286,41.721,-72.213,281 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31259,41.709,-72.217,59 Hayden St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21355,41.718,-72.213,237 Summit St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31230,41.71,-72.228,622 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20820,41.717,-72.202,108 Hope St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20119,41.717,-72.204,261 Jackson St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20456,41.72,-72.216,268 High St,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
21078,41.719,-72.197,70 Natchuag Street,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20404,41.715,-72.205,185 Jackson St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31523,41.709,-72.216,67 Hayden St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
10765,41.725,-72.203,528 Jackson St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20318,41.715,-72.209,21 Turner St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20466,41.718,-72.205,20 Carey St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
21282,41.714,-72.205,22 Moulton Ct,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21072,41.717,-72.219,372 Prospect St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21354,41.717,-72.215,162 Walnut St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
10017,41.722,-72.229,130 Tower Rd,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21123,41.716,-72.212,158 North St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
21234,41.718,-72.205,35 Lewiston Ave,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20642,41.716,-72.216,105 High St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30937,41.713,-72.225,34 Winter St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20852,41.72,-72.214,251 Walnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30328,41.709,-72.214,250 Pleasant St,Windham,Ct,Lead,Other,Ct1630011,Windham Water Works
20335,41.719,-72.21,245 North St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31231,41.706,-72.2,21 Selden St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
40487,41.71,-72.217,303 Pleasant St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
40388,41.714,-72.209,13 Turner St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20283,41.716,-72.212,176 Prospect St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20961,41.719,-72.213,142 Chestnut St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30913,41.71,-72.221,403 Pleasant St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
40505,41.717,-72.222,121 Ivanhill St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20573,41.715,-72.19,316 Bricktop Rd,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
40501,41.715,-72.216,221 Valley St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31160,41.704,-72.206,159 Crescent St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30344,41.702,-72.209,224 South St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31340,41.714,-72.215,63 Meadow St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
31292,41.705,-72.21,139 South St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30553,41.709,-72.219,99 Mountain St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30845,41.713,-72.225,23 Winter St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20424,41.716,-72.211,159 North St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
20627,41.714,-72.209,57 Maple Ave,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
31498,41.711,-72.222,117 Bridge St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
20590,41.718,-72.211,232 North St,Windham,Ct,Lead,Single-Family Residence,Ct1630011,Windham Water Works
30242,41.702,-72.21,250 South St,Windham,Ct,Lead,Multi-Family Residence,Ct1630011,Windham Water Works
